2026-02-05T09:10:32.5088907Z | Correlation=9904678234e549c193e59cbf59773e7c | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:10:37.0342956Z | Correlation=faccf2d7c2b347449aa8e1b6cb603c45 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:37.0747014Z | Correlation=faccf2d7c2b347449aa8e1b6cb603c45 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Processing started
2026-02-05T09:10:37.1204609Z | Correlation=faccf2d7c2b347449aa8e1b6cb603c45 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:10:42.6269313Z | Correlation=e5ea42f9351a4985a5a67636d2a2e435 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=15 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:42.6600676Z | Correlation=e5ea42f9351a4985a5a67636d2a2e435 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=15 | Status=SUCCESS | Message=Processing started
2026-02-05T09:10:42.7543315Z | Correlation=e5ea42f9351a4985a5a67636d2a2e435 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=15 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:10:47.1593726Z | Correlation=3c61bdb91b1a4230bc16b0538e424248 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=16 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:47.1701069Z | Correlation=3c61bdb91b1a4230bc16b0538e424248 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=16 | Status=SUCCESS | Message=Processing started
2026-02-05T09:10:47.1908471Z | Correlation=3c61bdb91b1a4230bc16b0538e424248 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=16 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:10:55.7260242Z | Correlation=3eb8325315c0422f82d41e9c522f24fd | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=17 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:55.7608496Z | Correlation=3eb8325315c0422f82d41e9c522f24fd | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=17 | Status=SUCCESS | Message=Processing started
2026-02-05T09:10:55.7852158Z | Correlation=3eb8325315c0422f82d41e9c522f24fd | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=17 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:11:07.3119623Z | Correlation=d8966adbdc1e41158a37f6ca8043fddc | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=18 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:11:07.3258037Z | Correlation=d8966adbdc1e41158a37f6ca8043fddc | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=18 | Status=SUCCESS | Message=Processing started
2026-02-05T09:11:07.3460624Z | Correlation=d8966adbdc1e41158a37f6ca8043fddc | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=18 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:11:26.5797712Z | Correlation=f959ce96727542ed8be415101ff3c23a | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:11:26.5919225Z | Correlation=f959ce96727542ed8be415101ff3c23a | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Processing started
2026-02-05T09:11:26.6094139Z | Correlation=f959ce96727542ed8be415101ff3c23a | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:11:30.6061803Z | Correlation=ea48700b2bc940239898cb3e364490a4 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:11:30.6253309Z | Correlation=ea48700b2bc940239898cb3e364490a4 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Processing started
2026-02-05T09:11:30.6472631Z | Correlation=ea48700b2bc940239898cb3e364490a4 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:11:44.7278423Z | Correlation=44e0c659417045928da248b31a17dd6a | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:11:44.7400818Z | Correlation=44e0c659417045928da248b31a17dd6a | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Processing started
2026-02-05T09:11:44.7799369Z | Correlation=44e0c659417045928da248b31a17dd6a | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:12:01.8664902Z | Correlation=007efeae19bc4f6a81a6efa79c5a6b8e | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:12:01.8932338Z | Correlation=007efeae19bc4f6a81a6efa79c5a6b8e | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Processing started
2026-02-05T09:12:01.9124755Z | Correlation=007efeae19bc4f6a81a6efa79c5a6b8e | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:12:22.0417368Z | Correlation=6948dd64297047d4806e09da4191cd7b | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:12:22.0583559Z | Correlation=6948dd64297047d4806e09da4191cd7b | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Processing started
2026-02-05T09:12:22.0773189Z | Correlation=6948dd64297047d4806e09da4191cd7b | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:12:38.7187609Z | Correlation=f6a21e5e504d4b40b315fa6ee8fd02ad | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:12:38.7296700Z | Correlation=f6a21e5e504d4b40b315fa6ee8fd02ad | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Processing started
2026-02-05T09:12:38.7529838Z | Correlation=f6a21e5e504d4b40b315fa6ee8fd02ad | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:12:50.3096696Z | Correlation=5f259eda313c435ca23260dcb938ac34 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Kafka message received
