2026-02-06T06:47:45.0914029Z | Correlation=fbe88afa6bd54c7f8a115b91e670cb3c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:45.1068870Z | Correlation=fbe88afa6bd54c7f8a115b91e670cb3c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:45.1129599Z | Correlation=21ebc127492f4a50baede110cd753e71 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:45.1310795Z | Correlation=21ebc127492f4a50baede110cd753e71 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:45.1358579Z | Correlation=edb096b45bc54fc4b93f7e9a38c48cef | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:45.1571726Z | Correlation=edb096b45bc54fc4b93f7e9a38c48cef | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:49.6321939Z | Correlation=890c9e353dfa4096a2d84a9879e886b8 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:49.6537781Z | Correlation=890c9e353dfa4096a2d84a9879e886b8 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:49.6584078Z | Correlation=18a1d7d1ba98479fa28d874c37b2de56 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:49.6736595Z | Correlation=18a1d7d1ba98479fa28d874c37b2de56 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:49.6784318Z | Correlation=b4cf69f090d643d48a0f7566f7a68139 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:49.6932815Z | Correlation=b4cf69f090d643d48a0f7566f7a68139 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:53.6680727Z | Correlation=928c8f190fbc4d21801cd7aa6fcff31b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:53.6859480Z | Correlation=928c8f190fbc4d21801cd7aa6fcff31b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:47:53.6924342Z | Correlation=f6b02456466c4930a160413b64d28bba | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:53.7244867Z | Correlation=f6b02456466c4930a160413b64d28bba | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry processed successfully
