2026-02-05T09:35:03.6439668Z | Correlation=ad9d09bf6265495191892ec38f8916a1 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:04.1696240Z | Correlation=a10951dabc0f4a889af717b9bfe79380 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:06.9640701Z | Correlation=a10951dabc0f4a889af717b9bfe79380 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:07.5568292Z | Correlation=510948587d6b4341bd9fe5f427d63ffb | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:08.1033990Z | Correlation=510948587d6b4341bd9fe5f427d63ffb | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:08.1202785Z | Correlation=8988e7ba8e5a4574b2452dbbed593aac | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:08.3406837Z | Correlation=8988e7ba8e5a4574b2452dbbed593aac | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:08.4865650Z | Correlation=7afb452454ff42ba9361c3b605b1e430 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry message received
2026-02-05T09:35:09.1178794Z | Correlation=7afb452454ff42ba9361c3b605b1e430 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-05T09:35:09.2999931Z | Correlation=2d5312aca0304746afaa40418cc05c24 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Telemetry message received
