2026-02-10T11:05:57.2223031Z | Correlation=35b968600ce841449cbc600c13635462 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=42 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.2317514Z | Correlation=5dce417beb89407d85c60983038a6f31 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=43 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.2554236Z | Correlation=5dce417beb89407d85c60983038a6f31 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=43 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.2621584Z | Correlation=fee1bf8c2a79456689751aacdb00cbfa | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=44 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.2799368Z | Correlation=fee1bf8c2a79456689751aacdb00cbfa | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=44 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.2862253Z | Correlation=31f0c3f78709428fa81bb5ad8db07545 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=45 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.3032070Z | Correlation=31f0c3f78709428fa81bb5ad8db07545 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=45 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.3085056Z | Correlation=c3d7bc2996c34e19b3ada485239929f6 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=46 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:57.3227723Z | Correlation=c3d7bc2996c34e19b3ada485239929f6 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=46 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:57.3277122Z | Correlation=e41c04f8ee5d42819b420a057e00c18f | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=47 | Status=SUCCESS | Message=Telemetry message received
