2026-02-05T09:10:56.0581847Z | Correlation=3eb8325315c0422f82d41e9c522f24fd | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=17 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:11:07.3122658Z | Correlation=d8966adbdc1e41158a37f6ca8043fddc | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=18 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:11:07.3291356Z | Correlation=d8966adbdc1e41158a37f6ca8043fddc | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=18 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:11:07.5950363Z | Correlation=d8966adbdc1e41158a37f6ca8043fddc | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=18 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:11:26.5801878Z | Correlation=f959ce96727542ed8be415101ff3c23a | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:11:26.5917549Z | Correlation=f959ce96727542ed8be415101ff3c23a | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:11:26.8529935Z | Correlation=f959ce96727542ed8be415101ff3c23a | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=19 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:11:30.6061358Z | Correlation=ea48700b2bc940239898cb3e364490a4 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:11:30.6262774Z | Correlation=ea48700b2bc940239898cb3e364490a4 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:11:30.9141076Z | Correlation=ea48700b2bc940239898cb3e364490a4 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:11:44.7285093Z | Correlation=44e0c659417045928da248b31a17dd6a | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:11:44.7445685Z | Correlation=44e0c659417045928da248b31a17dd6a | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:11:45.0310928Z | Correlation=44e0c659417045928da248b31a17dd6a | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:12:01.8659162Z | Correlation=007efeae19bc4f6a81a6efa79c5a6b8e | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:12:01.8937907Z | Correlation=007efeae19bc4f6a81a6efa79c5a6b8e | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:12:02.1582542Z | Correlation=007efeae19bc4f6a81a6efa79c5a6b8e | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:12:22.0418568Z | Correlation=6948dd64297047d4806e09da4191cd7b | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:12:22.0589052Z | Correlation=6948dd64297047d4806e09da4191cd7b | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:12:22.3290241Z | Correlation=6948dd64297047d4806e09da4191cd7b | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:12:38.7187423Z | Correlation=f6a21e5e504d4b40b315fa6ee8fd02ad | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:12:38.7278089Z | Correlation=f6a21e5e504d4b40b315fa6ee8fd02ad | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:12:38.9905847Z | Correlation=f6a21e5e504d4b40b315fa6ee8fd02ad | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:12:50.3100677Z | Correlation=5f259eda313c435ca23260dcb938ac34 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:12:50.3325234Z | Correlation=5f259eda313c435ca23260dcb938ac34 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:12:50.6380226Z | Correlation=5f259eda313c435ca23260dcb938ac34 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:35:00.2045970Z | Correlation=6cbc47ee-35d7-4961-b4d5-c2898d38e28c | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:35:00.4248096Z | Correlation=6cbc47ee-35d7-4961-b4d5-c2898d38e28c | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Audit processing started
