2026-02-16T11:14:07.1476678Z | Correlation=7eb1989c8e184e2abd0addc6fc6df0e2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=879 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:10.9202746Z | Correlation=1318d1861fed400f97aa637fe345ec36 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:14:10.9592221Z | Correlation=1318d1861fed400f97aa637fe345ec36 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=880 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:17.2313386Z | Correlation=98579dbf847a4523b2b9fbb3e4ffd034 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:14:17.4285428Z | Correlation=98579dbf847a4523b2b9fbb3e4ffd034 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=881 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:22.3070693Z | Correlation=027de222bc3f46e488d2ff895693fb1f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:14:22.3742970Z | Correlation=027de222bc3f46e488d2ff895693fb1f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=882 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:25.9037102Z | Correlation=c528bc61361b42898c34baa95d931b27 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:14:25.9365480Z | Correlation=c528bc61361b42898c34baa95d931b27 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=883 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:30.8623003Z | Correlation=21a0e3b5332543cf914a0ec91eb2b56e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:14:30.9193964Z | Correlation=21a0e3b5332543cf914a0ec91eb2b56e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=884 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:40.2039385Z | Correlation=49bb61d23940450f859c75c9307f7fb2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:14:40.2362071Z | Correlation=49bb61d23940450f859c75c9307f7fb2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=885 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:45.0164218Z | Correlation=34358c6130ff4c5bb90c58419200bdad | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:14:45.0685638Z | Correlation=34358c6130ff4c5bb90c58419200bdad | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=886 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:49.9422946Z | Correlation=9dece32670804329895f1b3208393d9a | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
