2026-02-10T10:48:24.8635677Z | Correlation=497420d7cb64492bb170be2d6b1e6129 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=20 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:29.0161672Z | Correlation=b5113d7ea1a74a1faeaa3daada8e8731 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:29.3548421Z | Correlation=b5113d7ea1a74a1faeaa3daada8e8731 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=21 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:33.1489007Z | Correlation=9d31088707944ce18a9224677b16942e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:33.1973397Z | Correlation=9d31088707944ce18a9224677b16942e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=22 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:37.2991952Z | Correlation=9b3883fd5eb042baa6d302e58df715cd | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:37.3366204Z | Correlation=9b3883fd5eb042baa6d302e58df715cd | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=23 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:41.4345084Z | Correlation=7928a98704a54111b79d9c3bb8b0382b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:41.4768875Z | Correlation=7928a98704a54111b79d9c3bb8b0382b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=24 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:46.6336862Z | Correlation=5e1dec7c58484ce88ae81601d8c6a734 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:46.6747448Z | Correlation=5e1dec7c58484ce88ae81601d8c6a734 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:49.6587869Z | Correlation=e560cba7ead041f1a7e9c1e8547e84c7 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:49.7073276Z | Correlation=e560cba7ead041f1a7e9c1e8547e84c7 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=26 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:53.8064428Z | Correlation=919f040a7b75432e90c2ffc4a93e72fb | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:53.8431461Z | Correlation=919f040a7b75432e90c2ffc4a93e72fb | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=27 | Status=SUCCESS | Message=Kafka message delivered
2026-02-10T10:48:57.9380919Z | Correlation=506d23d4f1c845d3aea8c9b8a0a558c0 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T10:48:57.9757684Z | Correlation=506d23d4f1c845d3aea8c9b8a0a558c0 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=28 | Status=SUCCESS | Message=Kafka message delivered
